#x1/cm	#D1/mm	#D2/mm
4	0	0.111
6	-0.02	0.179
8	-0.02	0.292
10	-0.015	0.442
12	-0.003	0.621
14	0.03	0.864
16	0.078	1.129
18	0.139	1.423
20	0.207	1.755
22	0.280	2.121
24	0.367	2.501
26	0.451	2.919
28	0.538	3.348
30	0.622	3.780
32	0.740	4.242
34	0.803	4.703
36	0.918	5.159
38	0.962	5.651
40	1.107	6.152
42	1.203	6.638
44	1.315	7.512
46	1.455	7.695
48	1.590	8.230
