#x1/cm	#D1/mm	#D2/mm
#2.5	#0	#/
4	0.045	0.815
6	-0.111	0.842
8	-0.197	0.882
10	-0.271	0.939
12	-0.351	1.022
14	-0.438	1.135
16	-0.512	1.27
18	-0.562	1.44
20	-0.619	1.632
22	-0.688	1.85
24	-0.690	2.122
26	-0.669	2.418
28	-0.640	2.75
30	-0.637	3.080
32	-0.628	3.405
34	-0.645	3.725
36	-0.653	4.075
38	-0.672	4.587
40	-0.685	4.77
42	-0.690	5.13
44	-0.690	5.49
46	-0.677	5.895
48	-0.672	6.265
