#s/mm	#I/nA
-13	13
-12.5	14
-12	16
-11.5	18.5
-11	19.5
-10.5	18.5
-10	15.5
-9.5	12.5
-9	13.5
-8.75	16.5
-8.5	21
-8.25	23
-8	36
-7.75	44
-7.5	51
-7.25	59
-7	64
-6.75	68
-6.5	66
-6.25	62
-6	56
-5.75	47
-5.5	37
-5.25	30
-5	25
-4.75	26
-4.5	36
-4.25	58
-4	95
-3.75	140
-3.5	215
-3.25	285
-3	380
-2.75	490
-2.5	620
-2.25	720
-2	830
-1.75	940
-1.5	1050
-1.25	1100
-1	1175
-0.75	1200
-0.5	1225
-0.25	1200
0	1150
0.25	1100
0.5	1000
0.75	900
1	770
1.25	640
1.5	540
1.75	420
2	320
2.25	240
2.5	175
2.75	110
3	64
3.25	39
3.5	25
3.75	20
4	24
4.25	32
4.5	44
4.75	54
5	62
5.25	68
5.5	72
5.75	70
6	66
6.25	60
6.5	51
6.75	42
7	34
7.25	26
7.5	19.5
7.75	16
8	13.5
8.25	12.5
8.5	12.5
8.75	13.5
9	14.5
9.25	15.5
9.5	16.5
9.75	16.5
10	16
10.5	13
11	9.6
11.5	7.2
12	7.2
12.5	9.1
13	12.5
