#r/cm	#B/mT
-0.5	7.077
-0.4	7.088
-0.3	7.092
-0.2	7.094
-0.1	7.097
0	7.097
0.1	7.099
0.2	7.099
0.3	7.099
0.4	7.093
0.5	7.078
6	4.703
6.5	4.301
7	3.936
7.5	3.573
8	3.222
8.5	2.896
9	2.599
9.5	2.325
10	2.090
10.5	1.864
11	1.682
11.5	1.530
12	1.385
12.5	1.252
13	1.135
13.5	1.033
14	0.950
14.5	0.869
15	0.797
15.5	0.736
16	0.677
16.5	0.627
17	0.580
17.5	0.541
18	0.504
18.5	0.472
19	0.443
19.5	0.416
20	0.391
20.5	0.367
21	0.346
21.5	0.328
22	0.311
22.5	0.296
23	0.278
23.5	0.266
