#r/cm	#B/mT
-9	-0.63
-8	-0.63
-7	-0.62
-6	-0.65
-5	-0.62
-4	-0.57
-3	-0.53
-2	-0.45
-1	-0.24
0	0.04
1	0.65
2	1.50
3	2.01
4	2.28
5	2.37
6	2.40
7	2.41
8	2.42
9	2.41
10	2.40
11	2.38
12	2.35
13	2.29
14	2.20
15	2.05
16	1.69
17	1.02
18	0.24
19	-0.20
20	-0.17
21	-0.32
22	-0.43
23	-0.48
24	-0.52
25	-0.53
26	-0.54
27	-0.55
28	-0.55
