#U/V    #I/pA
1.358     0
1.3     2
1.25    4
1.2      6
1.15      9.5
1.1     13
1.05      17
1       22
0.95  28
0.9     35
0.85      42
0.8     51
0.75      60
0.7       69
0.65        78
0.6       89
0.55        100
0.5       110
0.45        125
0.4       135
0.35        145
0.3       155
0.25        165
0.2       177.5
0.15        190
0.1       200
0.05        210
0     220
