#U/V    #I/pA
1.17      0
1.15      1.5
1.1     6
1.05     11
1     18
0.95    27
0.9     38
0.85      52
0.8     68
0.75      86
0.7     105
0.65      130
0.6     155
0.55      185
0.5     210
0.45      240
0.4     270
0.35      285
0.3     300
0.25      340
0.2     365
0.15      390
0.1     415
0.05      440
0     460
